time_wall,time_perf,arrival_perf,rel_time,can_id,dlc,data
1778594555.731070,1867119.422778,1867119.421976,24.235462,0x1AB,3,00 2F 2F
1778594555.731134,1867119.422842,1867119.421979,24.235526,0x1A4,8,00 66 00 00 00 00 00 2B
1778594555.731205,1867119.422913,1867119.421981,24.235597,0x1B0,7,80 1F 00 00 00 01 21
1778594555.731258,1867119.422966,1867119.421982,24.235650,0x1D0,8,09 AA 0F F8 24 C0 3A 9F
1778594555.731311,1867119.423019,1867119.421984,24.235703,0x1EA,8,00 00 00 BF 00 00 00 23
1778594555.731359,1867119.423067,1867119.421985,24.235751,0x1AC,8,7F FF 00 00 00 00 00 2B
1778594555.731387,1867119.423095,1867119.421987,24.235779,0x1FB,1,1C
1778594555.731414,1867119.423122,1867119.421989,24.235806,0x1A6,8,00 00 40 0F C2 01 00 14
1778594555.731440,1867119.423149,1867119.421991,24.235833,0x39,3,00 00 0C
1778594555.731468,1867119.423176,1867119.421992,24.235861,0x294,8,00 16 01 00 2A 44 00 1C
1778594555.731537,1867119.423245,1867119.422001,24.235929,0x295,4,00 00 00 17
1778594555.731570,1867119.423278,1867119.422002,24.235962,0x221,4,21 00 00 1F
1778594555.731728,1867119.423436,1867119.422031,24.236120,0x255,8,0C 0A 0B 09 55 55 E3 49
1778594555.731803,1867119.423511,1867119.422034,24.236195,0x309,8,00 00 00 00 04 B1 00 75
1778594555.731905,1867119.423613,1867119.422043,24.236297,0x372,2,20 37
1778594555.731932,1867119.423640,1867119.422045,24.236325,0x374,7,55 00 00 00 00 00 3D
1778594555.731992,1867119.423701,1867119.422047,24.236385,0x37B,8,30 00 00 20 00 00 00 3B
1778594555.732045,1867119.423753,1867119.422048,24.236438,0x396,7,00 00 3A 55 00 00 3C
1778594555.732073,1867119.423781,1867119.422050,24.236465,0x428,7,00 00 00 00 00 00 19
1778594555.732439,1867119.424147,1867119.422113,24.236831,0x406,5,00 00 00 03 1A
1778594555.928156,1867119.619864,1867119.619647,24.432548,0x305,7,80 14 00 00 00 00 30
1778594555.928378,1867119.620086,1867119.619659,24.432771,0x130,8,00 C1 00 BF 10 00 04 08
1778594555.928447,1867119.620156,1867119.619662,24.432840,0x158,8,04 90 00 00 04 86 19 01
1778594555.928507,1867119.620215,1867119.619665,24.432899,0x156,6,0C 80 FF EE 07 07
1778594555.928558,1867119.620266,1867119.619667,24.432950,0x17C,8,10 00 05 07 80 00 00 0F
1778594555.928633,1867119.620341,1867119.619668,24.433025,0x191,8,08 00 80 86 84 04 7F 09
1778594555.928710,1867119.620419,1867119.619670,24.433103,0x1DC,7,02 05 07 00 00 00 2E
1778594555.928737,1867119.620445,1867119.619671,24.433130,0x1ED,3,01 FF 2B
1778594555.928763,1867119.620471,1867119.619672,24.433156,0x1AB,3,00 21 3C
1778594555.928840,1867119.620548,1867119.619674,24.433233,0x91,8,9A B3 88 7E 0A 00 00 3B
1778594555.928888,1867119.620596,1867119.619676,24.433280,0x1A4,8,00 67 00 00 00 00 00 39
1778594555.928951,1867119.620659,1867119.619677,24.433343,0x1B0,7,80 1F 00 00 00 01 30
1778594555.929004,1867119.620712,1867119.619679,24.433397,0x1D0,8,09 EE 10 50 25 28 3B E2
1778594555.929056,1867119.620764,1867119.619680,24.433448,0x1EA,8,00 00 00 9F 00 00 00 34
1778594555.929106,1867119.620813,1867119.619682,24.433498,0x1FB,1,2B
1778594555.929132,1867119.620840,1867119.619683,24.433525,0x1AC,8,7F FF 00 00 00 00 00 3A
1778594555.929159,1867119.620867,1867119.619685,24.433552,0x255,8,0C 0A 0B 09 55 55 E7 45
1778594555.929266,1867119.620974,1867119.619693,24.433659,0x1A6,8,00 00 40 0F C3 01 00 22
1778594555.929302,1867119.621011,1867119.619696,24.433695,0x555,5,00 00 00 04 14
1778594555.929386,1867119.621094,1867119.619708,24.433778,0x320,8,00 00 00 00 00 00 00 30
1778594555.929413,1867119.621121,1867119.619710,24.433805,0x324,8,7E 71 42 72 00 04 80 34
1778594555.929471,1867119.621178,1867119.619711,24.433863,0x328,8,00 00 00 00 00 80 00 6D
1778594555.929497,1867119.621205,1867119.619713,24.433889,0x400,5,00 00 00 00 13
1778594555.929523,1867119.621231,1867119.619714,24.433915,0x403,5,00 00 02 00 1E
1778594555.929549,1867119.621257,1867119.619715,24.433941,0x40C,8,28 00 00 00 00 00 00 1D
1778594555.929576,1867119.621284,1867119.619717,24.433969,0x40F,8,00 11 00 00 08 00 00 1A
1778594555.929603,1867119.621311,1867119.619718,24.433995,0x454,8,00 F7 02 00 00 00 60 1C
1778594555.929629,1867119.621337,1867119.619719,24.434021,0x465,8,00 00 00 00 00 00 03 15
1778594555.929702,1867119.621411,1867119.619729,24.434095,0x45B,2,00 13
1778594555.929742,1867119.621450,1867119.619733,24.434134,0x39,3,00 00 1B
1778594555.929820,1867119.621528,1867119.619742,24.434212,0x221,4,21 00 00 2E
1778594555.929847,1867119.621555,1867119.619743,24.434239,0x294,8,00 16 01 00 2A 44 00 2B
1778594555.929879,1867119.621587,1867119.619744,24.434271,0x295,4,00 00 00 26
1778594555.930087,1867119.621795,1867119.619777,24.434479,0x309,8,00 00 00 00 04 CC 00 5B
1778594555.930145,1867119.621853,1867119.619778,24.434537,0x372,2,20 19
1778594555.930171,1867119.621880,1867119.619780,24.434564,0x374,7,55 00 00 00 00 00 1F
1778594555.930233,1867119.621941,1867119.619781,24.434625,0x37B,8,30 00 00 20 00 00 00 1D
1778594555.930284,1867119.621992,1867119.619782,24.434677,0x396,7,00 00 3A 55 00 00 1E
1778594555.930311,1867119.622020,1867119.619783,24.434704,0x510,8,00 00 00 00 00 00 00 11
1778594556.111624,1867119.803333,1867119.803104,24.616017,0x305,7,80 14 00 00 00 00 12
1778594556.111783,1867119.803491,1867119.803116,24.616175,0x130,8,00 B8 00 6D 0A 00 04 00
1778594556.111857,1867119.803565,1867119.803119,24.616249,0x158,8,04 9E 00 00 04 93 19 05
1778594556.111921,1867119.803629,1867119.803121,24.616313,0x156,6,0C 22 FF B5 07 07
1778594556.111989,1867119.803698,1867119.803123,24.616382,0x17C,8,0A 00 05 09 80 00 00 04
1778594556.112086,1867119.803794,1867119.803125,24.616479,0x191,8,08 00 80 84 81 04 7F 0E
